benchmark_mode,objective_type,budget_normalization,experiment_group,ansatz_type,gate_set,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,reference_depth,depth,target_entangling_budget,actual_entangling_budget,gates_per_layer,run_id,seed,hilbert_dim,n_params,n_entangling_gates,objective_value,mean_abs_grad,spatial_grad_variance,log10_spatial_grad_variance,grad_norm,normalized_grad_norm,max_abs_grad,min_abs_grad,near_zero_ratio,target_grad
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,4,1,1,3,4,4,10,1,16,12,4,0.3747624386091884,0.09121368721460067,0.04009463314963968,-1.396913755795863,0.7556845357788108,0.2181473350771669,0.7056295856494703,1.6820289030139458e-17,0.6666666666666666,-0.027887707204140473
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,4,1,1,3,4,4,11,2,16,12,4,0.007823247370746494,0.012813258930925902,0.0009529644369403,-3.0209233062124308,0.11155759097092387,0.03220390258860453,0.10703444364339831,1.3444106938820255e-17,0.6666666666666666,0.10703444364339831
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,4,1,1,3,3,3,12,0,16,12,3,0.2849435113269998,0.07817397678002566,0.019429172091021515,-1.7115457050081129,0.4927267638390963,0.1422379648697177,0.305683213284097,7.211740422880042e-18,0.5,4.163336342344337e-17
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,4,1,1,3,3,3,13,1,16,12,3,-0.24409252604728654,0.08286266906561181,0.02116435377318869,-1.6743949876210058,0.5133051372409205,0.14817842958123165,0.32826847779755597,8.673617379884035e-18,0.5,-8.673617379884035e-18
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,4,1,1,3,3,3,14,2,16,12,3,0.06270574241495665,0.08098173921908443,0.016300732831491013,-1.7877928705949073,0.4535982099158967,0.13094252429943767,0.2899586972078052,1.972367493174375e-18,0.5,5.551115123125783e-17
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,4,1,1,3,4,4,15,0,16,12,4,0.1575902975638039,0.05328716323038596,0.012872123173404505,-1.890349813123294,0.39327197948089526,0.11352784160901594,0.2824382955585377,0.0,0.5,-0.001164728159041492
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,4,1,1,3,4,4,16,1,16,12,4,-0.12162547797166076,0.06495484249687103,0.022340536850073634,-1.650906394863059,0.5190239437485157,0.14982930681953335,0.45129117305549427,5.521783476930999e-18,0.5,-0.0002021082247944308
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,4,1,1,3,4,4,17,2,16,12,4,0.2898623287604716,0.057409653767111574,0.010491423860516163,-1.9791655668301402,0.40060658714682007,0.11564516046417693,0.2931789728268752,1.3877787807814457e-17,0.5,0.018119678844541465
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,2,2,6,6,3,18,0,16,24,6,0.014869644952161934,0.03694276563604734,0.0025937384422681773,-2.5860738211613117,0.2508170505169066,0.05119781604635775,0.15200230401203027,7.558001641558768e-19,0.16666666666666666,-0.06556161011759325
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,2,2,6,6,3,19,1,16,24,6,0.023452332361909814,0.02337026915997752,0.0010011121522954158,-2.999517266781764,0.16332284174518583,0.03333813546808608,0.10021394363052995,7.7309503292440515e-19,0.16666666666666666,0.10021394363052995
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,2,2,6,6,3,20,2,16,24,6,-0.16177514853545638,0.03577400140165018,0.0027637285573634154,-2.558504613912957,0.2575617212579692,0.05257456619624797,0.16892459055385897,1.530581023409668e-19,0.16666666666666666,0.04496876964048373
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,2,2,6,8,4,21,0,16,24,8,-0.08107264076727791,0.04569000068512638,0.004240301888221748,-2.372603222718207,0.31943113259504985,0.06520360690143233,0.1767543039151662,8.195125832123213e-18,0.16666666666666666,-0.03488673443666913
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,2,2,6,8,4,22,1,16,24,8,-0.06575930413600092,0.03783863513949002,0.0029102205959189637,-2.5360740900658905,0.2718263604651144,0.05548632348144838,0.14082835853200174,2.868928087857668e-18,0.16666666666666666,-0.04395276007738596
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,2,2,6,8,4,23,2,16,24,8,0.005315690664079525,0.030333413785289948,0.0014039164422737884,-2.852658739598877,0.1976590613458827,0.040346986944574226,0.10076600412260871,2.5080431281602592e-18,0.16666666666666666,0.06636805060895783
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,2,2,6,6,3,24,0,16,24,6,0.41356155381868287,0.08469835728563645,0.017200512815926227,-1.7644586048478594,0.644704502369302,0.13159975547331154,0.31965033154442507,1.1375810176344702e-18,0.375,-0.00890401861955506
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,2,2,6,6,3,25,1,16,24,6,0.028529580053633083,0.06525837418540371,0.02374711123570364,-1.624389213436922,0.7557581814429326,0.15426849278907764,0.5188649293278178,1.2804362016155213e-17,0.375,-0.002966419977892838
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,2,2,6,6,3,26,2,16,24,6,0.15933597095414265,0.05385885838474469,0.008391677614412807,-2.076151208914944,0.46933708414978487,0.09580303112772195,0.2791984858661044,0.0,0.375,0.10983300916893202
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,4,2,2,6,8,4,27,0,16,24,8,0.18438989434801634,0.07360375412117388,0.016020874015028618,-1.7953137947717628,0.6257460975913296,0.12772988730304696,0.3817134579859189,3.708604078980401e-18,0.3333333333333333,0.00359033633405155
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,4,2,2,6,8,4,28,1,16,24,8,-0.08687611277726467,0.04430338577440421,0.005626254710189154,-2.249780610470563,0.37072899338384574,0.07567473888717191,0.22573886825840034,7.912434134999409e-18,0.3333333333333333,-0.22573886825840034
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,4,2,2,6,8,4,29,2,16,24,8,0.312735607112344,0.0856597116312865,0.018773268619330888,-1.7264601056549926,0.6879064195577721,0.1404183098917887,0.4450435388788075,0.0,0.3333333333333333,-0.19749248042692463
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,4,2,2,6,6,3,30,0,16,24,6,-0.2960277730455222,0.04600303880411175,0.005740013432681928,-2.2410870912722682,0.3716301737639671,0.07585869156196397,0.2235179598662902,1.9578522875246357e-18,0.2916666666666667,0.0026433817923954273
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,4,2,2,6,6,3,31,1,16,24,6,-0.17990038232699054,0.05160728921647933,0.009116410898638792,-2.0401761083501766,0.4679199379460068,0.09551375737020708,0.3307913475751809,2.742684769021472e-18,0.2916666666666667,0.00443673400393302
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,4,2,2,6,6,3,32,2,16,24,6,-0.016449042584639778,0.03448976032084203,0.003874157444963391,-2.411822733619654,0.3212478818687491,0.06557444929402692,0.20597334272521525,1.2917629911767286e-18,0.2916666666666667,0.08976290686204536
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,4,2,2,6,8,4,33,0,16,24,8,0.033911492598137055,0.0507898037816736,0.005807452169686246,-2.2360143583726466,0.375136730525331,0.07657446446358462,0.172445226463122,1.734723475976807e-18,0.25,0.16671892164845592
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,4,2,2,6,8,4,34,1,16,24,8,-0.22583788055716134,0.04917764203937764,0.007796661880065341,-2.108091299536655,0.44448134772294806,0.09072937517548371,0.32522019811823993,8.131273599946325e-18,0.25,0.02154707508522813
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,4,2,2,6,8,4,35,2,16,24,8,-0.017704610895917433,0.04223297761568321,0.00614849591808373,-2.2112311109508713,0.3936350394088492,0.08035041595266902,0.32556085689028885,3.6573000870812797e-19,0.25,-0.03638753797959829
